transformed_feature,mean_absolute_shap
permit_value_t,0.055355657
rolling_mean_3,0.055131685
lag_12,0.05293655
month_sin,0.021892095
month_cos,0.020966263
lag_1,0.015825756
lag_3,0.009558694
lag_6,0.008481635
time_index,0.0069223563
rolling_sd_3,0.005921277
cma_Windsor,0.005530208
overnight_rate_lag_1,0.004905003
unemployment_lag_1,0.004636554
cma_Toronto,0.0021162936
pandemic_indicator,0.0017150327
cma_Hamilton,0.000926354
cma_London,0.00063500286
cma_Kitchener-Cambridge-Waterloo,0.000110747074
