feature,mae_increase_mean,mae_increase_sd
rolling_mean_3,106880.20309895833,14803.236702920189
permit_value_t,79627.46385850695,11289.718786866937
lag_3,35752.856527777774,6514.327104093071
lag_6,19668.258231336808,5625.759284310642
lag_12,5869.909563802082,3677.5601833402065
cma,1575.2484743923605,1515.1225286078056
unemployment_lag_1,408.090423177083,819.1942703933062
month_sin,171.42108072916622,239.7361706439211
month_cos,37.20493055555514,197.64268958194387
overnight_rate_lag_1,0.0,0.0
pandemic_indicator,0.0,0.0
time_index,0.0,0.0
rolling_sd_3,-703.9817534722227,811.8365306887017
lag_1,-890.1558572048608,965.8580602265682
