target_date,cma,actual,selected_model,prediction,lower_90,upper_90,covered
2025-06-01,Hamilton,148615.0,xgboost,164819.83,0.0,481160.94,True
2025-06-01,Kitchener-Cambridge-Waterloo,151370.0,xgboost,89804.13,0.0,406145.22,True
2025-06-01,London,152227.0,xgboost,127755.72,0.0,444096.8,True
2025-06-01,Toronto,919576.0,xgboost,1.2999424e+06,983601.25,1.6162835e+06,False
2025-06-01,Windsor,40983.0,xgboost,59480.84,0.0,375821.94,True
2025-07-01,Hamilton,93356.0,xgboost,155822.33,0.0,472163.44,True
2025-07-01,Kitchener-Cambridge-Waterloo,162132.0,xgboost,127191.15,0.0,443532.25,True
2025-07-01,London,177736.0,xgboost,151136.78,0.0,467477.88,True
2025-07-01,Toronto,1216467.0,xgboost,1.3415179e+06,1.02517675e+06,1.657859e+06,True
2025-07-01,Windsor,50241.0,xgboost,52482.48,0.0,368823.56,True
2025-08-01,Hamilton,73375.0,xgboost,122775.34,0.0,439116.44,True
2025-08-01,Kitchener-Cambridge-Waterloo,102644.0,xgboost,128561.04,0.0,444902.12,True
2025-08-01,London,141390.0,xgboost,133716.8,0.0,450057.88,True
2025-08-01,Toronto,975609.0,xgboost,1.3258318e+06,1.0094906e+06,1.6421729e+06,False
2025-08-01,Windsor,50287.0,xgboost,55870.78,0.0,372211.88,True
2025-09-01,Hamilton,78664.0,xgboost,103429.45,0.0,419770.56,True
2025-09-01,Kitchener-Cambridge-Waterloo,92603.0,xgboost,119784.58,0.0,436125.7,True
2025-09-01,London,118356.0,xgboost,134458.61,0.0,450799.7,True
2025-09-01,Toronto,1031678.0,xgboost,1.2780932e+06,961752.1,1.5944344e+06,True
2025-09-01,Windsor,61671.0,xgboost,54731.06,0.0,371072.16,True
2025-10-01,Hamilton,221788.0,xgboost,126953.984,0.0,443295.06,True
2025-10-01,Kitchener-Cambridge-Waterloo,166026.0,xgboost,123500.734,0.0,439841.8,True
2025-10-01,London,165618.0,xgboost,128376.28,0.0,444717.38,True
2025-10-01,Toronto,1104822.0,xgboost,1.2338585e+06,917517.4,1.5501996e+06,True
2025-10-01,Windsor,47789.0,xgboost,59772.844,0.0,376113.94,True
2025-11-01,Hamilton,114545.0,xgboost,120047.266,0.0,436388.38,True
2025-11-01,Kitchener-Cambridge-Waterloo,86145.0,xgboost,122382.086,0.0,438723.2,True
2025-11-01,London,204953.0,xgboost,133862.12,0.0,450203.22,True
2025-11-01,Toronto,875852.0,xgboost,1.3452075e+06,1.0288664e+06,1.6615486e+06,False
2025-11-01,Windsor,48433.0,xgboost,53222.156,0.0,369563.25,True
2025-12-01,Hamilton,58493.0,xgboost,119501.49,0.0,435842.6,True
2025-12-01,Kitchener-Cambridge-Waterloo,47141.0,xgboost,119232.04,0.0,435573.12,True
2025-12-01,London,245608.0,xgboost,130853.375,0.0,447194.47,True
2025-12-01,Toronto,1101315.0,xgboost,1.1973311e+06,880990.0,1.5136722e+06,True
2025-12-01,Windsor,43032.0,xgboost,51022.09,0.0,367363.2,True
2026-01-01,Hamilton,58517.0,xgboost,93688.69,0.0,410029.78,True
2026-01-01,Kitchener-Cambridge-Waterloo,195556.0,xgboost,79530.0,0.0,395871.1,True
2026-01-01,London,84961.0,xgboost,132824.56,0.0,449165.66,True
2026-01-01,Toronto,1123987.0,xgboost,1.2671364e+06,950795.25,1.5834775e+06,True
2026-01-01,Windsor,52343.0,xgboost,53393.69,0.0,369734.78,True
2026-02-01,Hamilton,113640.0,xgboost,80816.414,0.0,397157.5,True
2026-02-01,Kitchener-Cambridge-Waterloo,73654.0,xgboost,130577.25,0.0,446918.34,True
2026-02-01,London,73569.0,xgboost,131790.4,0.0,448131.5,True
2026-02-01,Toronto,1274201.0,xgboost,1.3400525e+06,1.0237114e+06,1.6563936e+06,True
2026-02-01,Windsor,35354.0,xgboost,55251.832,0.0,371592.94,True
2026-03-01,Hamilton,53042.0,xgboost,100592.29,0.0,416933.38,True
2026-03-01,Kitchener-Cambridge-Waterloo,225528.0,xgboost,106993.734,0.0,423334.8,True
2026-03-01,London,86491.0,xgboost,116006.414,0.0,432347.5,True
2026-03-01,Toronto,1260611.0,xgboost,1.2936561e+06,977315.0,1.6099972e+06,True
2026-03-01,Windsor,48759.0,xgboost,53869.055,0.0,370210.16,True
2026-04-01,Hamilton,40492.0,xgboost,81395.53,0.0,397736.62,True
2026-04-01,Kitchener-Cambridge-Waterloo,114319.0,xgboost,121799.56,0.0,438140.66,True
2026-04-01,London,83764.0,xgboost,98394.36,0.0,414735.44,True
2026-04-01,Toronto,1047633.0,xgboost,1.2878399e+06,971498.75,1.604181e+06,True
2026-04-01,Windsor,57992.0,xgboost,53942.62,0.0,370283.72,True
2026-05-01,Hamilton,94731.0,xgboost,66116.63,0.0,382457.72,True
2026-05-01,Kitchener-Cambridge-Waterloo,80482.0,xgboost,137080.12,0.0,453421.22,True
2026-05-01,London,155755.0,xgboost,87748.65,0.0,404089.75,True
2026-05-01,Toronto,1194813.0,xgboost,1.2878399e+06,971498.75,1.604181e+06,True
2026-05-01,Windsor,42609.0,xgboost,56621.375,0.0,372962.47,True
