feature,mae_increase_mean,mae_increase_sd
permit_value_t,4422.863516341395,1124.3918659589508
rolling_mean_3,3962.897912985264,932.3606039440243
lag_12,2809.5029367844127,688.9317382274792
month_sin,2378.587043933427,943.3788975896687
lag_1,2206.500651177427,619.4552776479882
month_cos,1436.857268733064,876.0610054809911
lag_6,1043.8890378210706,350.2474550298985
cma,851.5858692607743,246.70443300772004
lag_3,257.48840140833033,285.9140543605059
overnight_rate_lag_1,54.28452232141456,65.88255134804844
pandemic_indicator,0.0,0.0
time_index,0.0,0.0
rolling_sd_3,-163.79665147497064,281.5256351721519
unemployment_lag_1,-204.21340372684534,144.99958559668087
