GEO
"Abbotsford-Mission, British Columbia"
Alberta
Alberta - total census metropolitan area
"Barrie, Ontario"
"Belleville - Quinte West, Ontario"
"Brantford, Ontario"
British Columbia
British Columbia - total census metropolitan area
"Calgary, Alberta"
Canada
Canada - total census metropolitan area
"Chilliwack, British Columbia"
"Drummondville, Quebec"
"Edmonton, Alberta"
"Fredericton, New Brunswick"
"Greater Sudbury, Ontario"
"Guelph, Ontario"
"Halifax, Nova Scotia"
"Hamilton, Ontario"
"Kamloops, British Columbia"
"Kelowna, British Columbia"
"Kingston, Ontario"
"Kitchener-Cambridge-Waterloo, Ontario"
"Lethbridge, Alberta"
"London, Ontario"
Manitoba
Manitoba - total census metropolitan area
"Moncton, New Brunswick"
"Montréal, Quebec"
"Nanaimo, British Columbia"
New Brunswick
New Brunswick - total census metropolitan area
Newfoundland and Labrador
Newfoundland and Labrador - total census metropolitan area
Northwest Territories
Nova Scotia
Nova Scotia - total census metropolitan area
Nunavut
Ontario
Ontario - total census metropolitan area
"Oshawa, Ontario"
"Ottawa-Gatineau, Ontario part"
"Ottawa-Gatineau, Québec part"
"Peterborough, Ontario"
Prince Edward Island
Quebec
Quebec - total census metropolitan area
"Québec, Quebec"
"Red Deer, Alberta"
"Regina, Saskatchewan"
"Saguenay, Quebec"
"Saint John, New Brunswick"
Saskatchewan
Saskatchewan - total census metropolitan area
"Saskatoon, Saskatchewan"
"Sherbrooke, Quebec"
"St. Catharines-Niagara, Ontario"
"St. John's, Newfoundland and Labrador"
"Thunder Bay, Ontario"
"Toronto, Ontario"
"Trois-Rivières, Quebec"
"Vancouver, British Columbia"
"Victoria, British Columbia"
"Windsor, Ontario"
"Winnipeg, Manitoba"
Yukon
