target_date,elastic_net_history,elastic_net_macro,random_forest,seasonal_naive,xgboost
2025-06-01,121004.71733154151,122685.33661919022,91143.31213139319,134207.0,69570.9171875
2025-07-01,91927.75762123101,90760.30253000135,34514.230346894015,45625.4,56512.7671875
2025-08-01,28348.522476391896,27652.960610862832,64663.362921403255,89227.6,39863.2625
2025-09-01,42480.06388386621,41808.20084606882,51307.63523981826,165691.6,19221.709375
2025-10-01,74991.02474989064,73683.26061336907,68479.63634857352,162342.4,50824.95546875
2025-11-01,64890.14032094365,66009.3831667075,96389.00782988888,137900.2,65607.6265625
2025-12-01,130827.92097755994,130363.2312901185,70925.13111238717,217165.4,66338.6109375
2026-01-01,64092.532287153575,63119.077532915355,50817.71576267653,100656.4,52454.3390625
2026-02-01,93798.46440791612,93055.69693501876,35608.42556086958,58516.2,66344.81328125
2026-03-01,99391.38718976904,98930.31022204793,48929.67638948734,130507.4,76073.559375
2026-04-01,24013.451447520245,24589.17349382266,62859.36403576845,56106.6,28566.64140625
2026-05-01,72375.42241854352,71885.1124815796,36685.83081941698,96449.4,52756.69921875
